mass_i,mass_j,distance,time,pos_i_x,pos_i_y,pos_j_x,pos_j_y,message_x,message_y
2.5,3.625,4.406795978546143,0.0,3.429588,4.215092,1.8828082,8.34151,-0.051363565,-2.7024148
3.625,2.5,4.406795978546143,0.0,1.8828082,8.34151,3.429588,4.215092,-5.729975,-2.602109
2.5,3.625,4.524185657501221,0.10000000149011612,3.4433167,4.136933,1.9081029,8.392679,-0.093553536,-2.6421556
3.625,2.5,4.524185657501221,0.10000000149011612,1.9081029,8.392679,3.4433167,4.136933,-5.5682445,-2.4838665
2.5,3.625,4.640743732452393,0.20000000298023224,3.456745,4.0596066,1.9336047,8.4432745,-0.139234,-2.5847397
3.625,2.5,4.640743732452393,0.20000000298023224,1.9336047,8.4432745,3.456745,4.0596066,-5.4212594,-2.3866606
2.5,3.625,4.75649356842041,0.30000001192092896,3.469897,3.983075,1.959297,8.493321,-0.19490865,-2.5281165
3.625,2.5,4.75649356842041,0.30000001192092896,1.959297,8.493321,3.469897,3.983075,-5.2729306,-2.289039
2.5,3.625,4.871462345123291,0.4000000059604645,3.4827948,3.9073029,1.9851646,8.542845,-0.24990213,-2.4716816
3.625,2.5,4.871462345123291,0.4000000059604645,1.9851646,8.542845,3.4827948,3.9073029,-5.1233506,-2.1910346
2.5,3.625,4.985671520233154,0.5,3.4954576,3.8322573,2.0111942,8.5918665,-0.30424666,-2.4154081
3.625,2.5,4.985671520233154,0.5,2.0111942,8.5918665,3.4954576,3.8322573,-4.9726024,-2.092675
2.5,3.625,5.099143981933594,0.6000000238418579,3.5079036,3.7579076,2.0373735,8.6404085,-0.3659781,-2.3595507
3.625,2.5,5.099143981933594,0.6000000238418579,2.0373735,8.6404085,3.5079036,3.7579076,-4.8207655,-1.9939888
2.5,3.625,5.211903095245361,0.699999988079071,3.5201485,3.6842253,2.0636914,8.68849,-0.43876246,-2.30533
3.625,2.5,5.211903095245361,0.699999988079071,2.0636914,8.68849,3.5201485,3.6842253,-4.667908,-1.8949971
2.5,3.625,5.323967933654785,0.800000011920929,3.532207,3.6111836,2.090138,8.73613,-0.5107696,-2.2520757
3.625,2.5,5.323967933654785,0.800000011920929,2.090138,8.73613,3.532207,3.6111836,-4.514097,-1.7957218
2.5,3.625,5.435359954833984,0.9000000357627869,3.5440924,3.5387573,2.1167037,8.783345,-0.58659196,-2.207937
3.625,2.5,5.435359954833984,0.9000000357627869,2.1167037,8.783345,3.5440924,3.5387573,-4.3593907,-1.6961846
2.5,3.625,5.546098709106445,1.0,3.5558167,3.466923,2.1433806,8.8301525,-0.6651834,-2.1707754
3.625,2.5,5.546098709106445,1.0,2.1433806,8.8301525,3.5558167,3.466923,-4.203844,-1.5964022
2.5,3.625,5.656200885772705,1.100000023841858,3.567391,3.3956585,2.170161,8.876567,-0.74308467,-2.1340365
3.625,2.5,5.656200885772705,1.100000023841858,2.170161,8.876567,3.567391,3.3956585,-4.0475054,-1.496391
2.5,3.625,5.76568603515625,1.2000000476837158,3.5788252,3.3249428,2.197038,8.922603,-0.80282915,-2.1403549
3.625,2.5,5.76568603515625,1.2000000476837158,2.197038,8.922603,3.5788252,3.3249428,-3.8908048,-1.3987333
