mass_i,mass_j,distance,time,pos_i_x,pos_i_y,pos_j_x,pos_j_y,message_x,message_y
5.5,7.375,6.907889366149902,0.0,6.8829765,7.97546,2.397337,2.7220833,15.595488,2.855559
7.375,5.5,6.907889366149902,0.0,2.397337,2.7220833,6.8829765,7.97546,13.783469,4.7190557
5.5,7.375,6.858162879943848,0.10000000149011612,6.8488846,7.896015,2.4274411,2.6533787,15.443554,2.810315
7.375,5.5,6.858162879943848,0.10000000149011612,2.4274411,2.6533787,6.8488846,7.896015,13.607831,4.652645
5.5,7.375,6.807327747344971,0.20000000298023224,6.814287,7.815971,2.4579222,2.585121,15.290877,2.7650552
7.375,5.5,6.807327747344971,0.20000000298023224,2.4579222,2.585121,6.814287,7.815971,13.433296,4.59281
5.5,7.375,6.755367755889893,0.30000001192092896,6.779181,7.7353153,2.4887831,2.5173192,15.137484,2.719766
7.375,5.5,6.755367755889893,0.30000001192092896,2.4887831,2.5173192,6.779181,7.7353153,13.256727,4.5322604
5.5,7.375,6.702269077301025,0.4000000059604645,6.7435613,7.6540356,2.5200267,2.449983,14.996175,2.6704037
7.375,5.5,6.702269077301025,0.4000000059604645,2.5200267,2.449983,6.7435613,7.6540356,13.099251,4.474679
5.5,7.375,6.648014545440674,0.5,6.7074246,7.5721188,2.551656,2.383122,14.856985,2.6269693
7.375,5.5,6.648014545440674,0.5,2.551656,2.383122,6.7074246,7.5721188,12.945647,4.4212666
5.5,7.375,6.592588424682617,0.6000000238418579,6.6707664,7.4895506,2.5836742,2.3167465,14.717039,2.5835514
7.375,5.5,6.592588424682617,0.6000000238418579,2.5836742,2.3167465,6.6707664,7.4895506,12.791699,4.3740067
5.5,7.375,6.535973072052002,0.699999988079071,6.633582,7.4063168,2.6160846,2.2508674,14.57634,2.5401523
7.375,5.5,6.535973072052002,0.699999988079071,2.6160846,2.2508674,6.633582,7.4063168,12.645685,4.327548
5.5,7.375,6.478150367736816,0.800000011920929,6.595867,7.3224025,2.6488905,2.185496,14.438321,2.498589
7.375,5.5,6.478150367736816,0.800000011920929,2.6488905,2.185496,6.595867,7.3224025,12.509908,4.2833123
5.5,7.375,6.419101715087891,0.9000000357627869,6.557617,7.2377915,2.6820958,2.1206443,14.343177,2.4805326
7.375,5.5,6.419101715087891,0.9000000357627869,2.6820958,2.1206443,6.557617,7.2377915,12.3776245,4.2402925
5.5,7.375,6.358806133270264,1.0,6.518827,7.1524673,2.715704,2.0563245,14.253129,2.4593532
7.375,5.5,6.358806133270264,1.0,2.715704,2.0563245,6.518827,7.1524673,12.243744,4.192803
5.5,7.375,6.297243595123291,1.100000023841858,6.479491,7.066412,2.749719,1.9925497,14.167251,2.418249
7.375,5.5,6.297243595123291,1.100000023841858,2.749719,1.9925497,6.479491,7.066412,12.10541,4.1343207
5.5,7.375,6.234393119812012,1.2000000476837158,6.4396048,6.9796076,2.7841444,1.9293336,14.08003,2.3766978
7.375,5.5,6.234393119812012,1.2000000476837158,2.7841444,1.9293336,6.4396048,6.9796076,11.966561,4.075541
5.5,7.375,6.170230865478516,1.3000000715255737,6.3991623,6.8920345,2.8189847,1.8666905,13.9890175,2.3312562
7.375,5.5,6.170230865478516,1.3000000715255737,2.8189847,1.8666905,6.3991623,6.8920345,11.828666,4.016563
5.5,7.375,6.104734420776367,1.4000000953674316,6.3581576,6.803673,2.8542442,1.8046356,13.907733,2.2815049
7.375,5.5,6.104734420776367,1.4000000953674316,2.8542442,1.8046356,6.3581576,6.803673,11.691351,3.9552417
5.5,7.375,6.037878036499023,1.5,6.3165855,6.714501,2.8899271,1.743185,13.828105,2.2306716
7.375,5.5,6.037878036499023,1.5,2.8899271,1.743185,6.3165855,6.714501,11.553196,3.8839629
5.5,7.375,5.969635963439941,1.600000023841858,6.2744393,6.6244965,2.926038,1.6823554,13.747587,2.1798642
7.375,5.5,5.969635963439941,1.600000023841858,2.926038,1.6823554,6.2744393,6.6244965,11.41484,3.8136864
5.5,7.375,5.899980545043945,1.7000000476837158,6.231713,6.5336356,2.9625816,1.6221645,13.666633,2.130841
7.375,5.5,5.899980545043945,1.7000000476837158,2.9625816,1.6221645,6.231713,6.5336356,11.276212,3.7441695
5.5,7.375,5.828882694244385,1.8000000715255737,6.1883993,6.441893,2.999563,1.5626311,13.593145,2.088056
7.375,5.5,5.828882694244385,1.8000000715255737,2.999563,1.5626311,6.1883993,6.441893,11.140607,3.6734798
5.5,7.375,5.756312847137451,1.899999976158142,6.144492,6.349242,3.036987,1.5037752,13.548789,2.0514212
7.375,5.5,5.756312847137451,1.899999976158142,3.036987,1.5037752,6.144492,6.349242,11.0192995,3.5992491
5.5,7.375,5.682238578796387,2.0,6.099984,6.2556543,3.0748591,1.4456179,13.512326,2.0156786
7.375,5.5,5.682238578796387,2.0,3.0748591,1.4456179,6.099984,6.2556543,10.897388,3.524575
5.5,7.375,5.606626033782959,2.0999999046325684,6.054868,6.1611,3.1131847,1.3881814,13.484245,1.9843934
7.375,5.5,5.606626033782959,2.0999999046325684,3.1131847,1.3881814,6.054868,6.1611,10.783996,3.4589806
5.5,7.375,5.529440402984619,2.200000047683716,6.009137,6.065547,3.151969,1.3314896,13.480239,1.971405
7.375,5.5,5.529440402984619,2.200000047683716,3.151969,1.3314896,6.009137,6.065547,10.678631,3.3910615
5.5,7.375,5.450644016265869,2.299999952316284,5.962783,5.9689617,3.191218,1.2755677,13.475707,1.9587221
7.375,5.5,5.450644016265869,2.299999952316284,3.191218,1.2755677,5.962783,5.9689617,10.573524,3.3106387
5.5,7.375,5.370197772979736,2.4000000953674316,5.9157977,5.871308,3.2309375,1.2204425,13.470647,1.9463477
7.375,5.5,5.370197772979736,2.4000000953674316,3.2309375,1.2204425,5.9157977,5.871308,10.471819,3.2301855
5.5,7.375,5.288058757781982,2.5,5.868173,5.772547,3.271134,1.1661432,13.465067,1.9342847
7.375,5.5,5.288058757781982,2.5,3.271134,1.1661432,5.868173,5.772547,10.384829,3.1489773
