mass_i,mass_j,distance,time,pos_i_x,pos_i_y,pos_j_x,pos_j_y,message_x,message_y
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018403243,-10.464419
3.0,3.0,0.0,0.20000000298023224,13.7888,11.373977,13.7888,11.373977,-0.0032919832,-9.781532
3.0,3.0,0.0,0.4000000059604645,27.5776,22.355555,27.5776,22.355555,-0.014175218,-9.230829
3.0,3.0,0.0,0.6000000238418579,41.3664,32.944733,41.3664,32.944733,0.0026865005,-9.121642
3.0,3.0,0.0,0.800000011920929,55.1552,43.141506,55.1552,43.141506,0.01543599,-9.439677
3.0,3.0,0.0,1.0,68.944,52.945885,68.944,52.945885,0.0007183999,-9.966167
3.0,3.0,0.0,1.2000000476837158,82.7328,62.35786,82.7328,62.35786,-0.015100643,-10.341691
3.0,3.0,0.0,1.399999976158142,96.5216,71.37744,96.5216,71.37744,-0.010458577,-10.299411
3.0,3.0,0.0,1.600000023841858,110.3104,80.004616,110.3104,80.004616,0.0058343112,-9.884283
3.0,3.0,0.0,1.7999999523162842,124.0992,88.239395,124.0992,88.239395,0.009559382,-9.548599
3.0,3.0,0.0,2.0,137.888,96.08177,137.888,96.08177,-0.0017839856,-9.441666
3.0,3.0,0.0,2.200000047683716,151.6768,103.531746,151.6768,103.531746,-0.01133908,-9.579166
3.0,3.0,0.0,2.4000000953674316,165.4656,110.589325,165.4656,110.589325,-0.0012431294,-9.864392
3.0,3.0,0.0,2.5999999046325684,179.2544,117.2545,179.2544,117.2545,0.010795813,-10.089916
3.0,3.0,0.0,2.799999952316284,193.0432,123.527275,193.0432,123.527275,0.002175238,-10.074858
3.0,3.0,0.0,3.0,206.832,129.40765,206.832,129.40765,-0.009064648,-9.842939
3.0,3.0,0.0,3.200000047683716,220.6208,134.89563,220.6208,134.89563,-0.001070071,-9.60924
3.0,3.0,0.0,3.4000000953674316,234.4096,139.99121,234.4096,139.99121,0.007238161,-9.550538
3.0,3.0,0.0,3.5999999046325684,248.1984,144.69438,248.1984,144.69438,0.0022020936,-9.705867
3.0,3.0,0.0,3.799999952316284,261.9872,149.00516,261.9872,149.00516,-0.006203782,-9.940137
3.0,3.0,0.0,4.0,275.776,152.92354,275.776,152.92354,-0.0022802353,-10.0333605
3.0,3.0,0.0,4.199999809265137,289.5648,156.44952,289.5648,156.44952,0.00525254,-9.89492
3.0,3.0,0.0,4.400000095367432,303.3536,159.5831,303.3536,159.5831,0.0020359308,-9.67738
3.0,3.0,0.0,4.599999904632568,317.1424,162.32426,317.1424,162.32426,-0.003797818,-9.604166
3.0,3.0,0.0,4.800000190734863,330.9312,164.67305,330.9312,164.67305,-0.0011889003,-9.74345
3.0,3.0,0.0,5.0,344.72,166.62943,344.72,166.62943,0.0040858276,-9.941974
3.0,3.0,0.0,5.199999809265137,358.5088,168.1934,358.5088,168.1934,0.0009336993,-9.96831
3.0,3.0,0.0,5.400000095367432,372.2976,169.36497,372.2976,169.36497,-0.004375469,-9.795631
3.0,3.0,0.0,5.599999904632568,386.0864,170.14415,386.0864,170.14415,-0.0010567866,-9.646898
3.0,3.0,0.0,5.800000190734863,399.8752,170.53093,399.8752,170.53093,0.005601015,-9.704815
3.0,3.0,0.0,6.0,413.664,170.52531,413.664,170.52531,0.0034359954,-9.88887
3.0,3.0,0.0,6.199999809265137,427.4528,170.12729,427.4528,170.12729,-0.0050707757,-9.945194
