timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/03/29 23:34:04.455, 0 %, 0 %, 1 MiB
2025/03/29 23:34:09.456, 0 %, 0 %, 4 MiB
2025/03/29 23:34:14.457, 3 %, 0 %, 316 MiB
2025/03/29 23:34:19.458, 14 %, 0 %, 424 MiB
2025/03/29 23:34:24.458, 14 %, 0 %, 424 MiB
2025/03/29 23:34:29.459, 13 %, 0 %, 424 MiB
2025/03/29 23:34:34.460, 13 %, 0 %, 424 MiB
2025/03/29 23:34:39.460, 13 %, 0 %, 424 MiB
2025/03/29 23:34:44.461, 13 %, 0 %, 424 MiB
2025/03/29 23:34:49.462, 14 %, 0 %, 424 MiB
2025/03/29 23:34:54.463, 13 %, 0 %, 424 MiB
2025/03/29 23:34:59.464, 13 %, 0 %, 424 MiB
2025/03/29 23:35:04.464, 14 %, 0 %, 424 MiB
2025/03/29 23:35:09.465, 13 %, 0 %, 424 MiB
2025/03/29 23:35:14.466, 14 %, 0 %, 424 MiB
2025/03/29 23:35:19.467, 13 %, 0 %, 424 MiB
2025/03/29 23:35:24.467, 14 %, 0 %, 424 MiB
2025/03/29 23:35:29.468, 14 %, 0 %, 424 MiB
2025/03/29 23:35:34.469, 13 %, 0 %, 424 MiB
2025/03/29 23:35:39.470, 14 %, 0 %, 424 MiB
2025/03/29 23:35:44.470, 13 %, 0 %, 424 MiB
2025/03/29 23:35:49.471, 13 %, 0 %, 424 MiB
2025/03/29 23:35:54.472, 13 %, 0 %, 424 MiB
2025/03/29 23:35:59.473, 13 %, 0 %, 424 MiB
2025/03/29 23:36:04.473, 13 %, 0 %, 424 MiB
2025/03/29 23:36:09.474, 14 %, 0 %, 424 MiB
2025/03/29 23:36:14.475, 14 %, 0 %, 424 MiB
2025/03/29 23:36:19.476, 14 %, 0 %, 424 MiB
2025/03/29 23:36:24.476, 14 %, 0 %, 424 MiB
2025/03/29 23:36:29.477, 14 %, 0 %, 424 MiB
2025/03/29 23:36:34.477, 14 %, 0 %, 424 MiB
2025/03/29 23:36:39.478, 13 %, 0 %, 424 MiB
2025/03/29 23:36:44.479, 13 %, 0 %, 424 MiB
2025/03/29 23:36:49.480, 14 %, 0 %, 424 MiB
2025/03/29 23:36:54.480, 14 %, 0 %, 424 MiB
2025/03/29 23:36:59.481, 14 %, 0 %, 424 MiB
2025/03/29 23:37:04.482, 13 %, 0 %, 424 MiB
2025/03/29 23:37:09.483, 13 %, 0 %, 424 MiB
2025/03/29 23:37:14.483, 14 %, 0 %, 424 MiB
2025/03/29 23:37:19.484, 12 %, 0 %, 424 MiB
2025/03/29 23:37:24.485, 12 %, 0 %, 424 MiB
2025/03/29 23:37:29.486, 12 %, 0 %, 424 MiB
2025/03/29 23:37:34.487, 12 %, 0 %, 424 MiB
2025/03/29 23:37:39.488, 12 %, 0 %, 424 MiB
2025/03/29 23:37:44.489, 11 %, 0 %, 424 MiB
2025/03/29 23:37:49.490, 11 %, 0 %, 424 MiB
2025/03/29 23:37:54.491, 11 %, 0 %, 424 MiB
2025/03/29 23:37:59.492, 11 %, 0 %, 428 MiB
2025/03/29 23:38:04.492, 11 %, 0 %, 428 MiB
2025/03/29 23:38:09.493, 11 %, 0 %, 428 MiB
2025/03/29 23:38:14.494, 11 %, 0 %, 428 MiB
2025/03/29 23:38:19.495, 11 %, 0 %, 428 MiB
2025/03/29 23:38:24.496, 0 %, 0 %, 428 MiB
