,edge,message_x,message_y,dx,dy,r,mass_j,time
0,"(1, 0)",0.05151575,0.0476709,-1.748518466949463,3.4230470657348633,3.8437700271606445,1.75,0.0
1,"(2, 0)",0.1386097,0.18762866,-5.898641109466553,4.057254791259766,7.159279823303223,1.75,0.0
2,"(0, 1)",-0.344967,0.30053827,1.748518466949463,-3.4230470657348633,3.8437700271606445,3.75,0.0
3,"(2, 1)",0.13409044,0.24356759,-4.15012264251709,0.6342077255249023,4.198301792144775,3.75,0.0
4,"(0, 2)",-0.59657127,0.4208433,5.898641109466553,-4.057254791259766,7.159279823303223,4.5,0.0
5,"(1, 2)",-0.32026428,0.22841981,4.15012264251709,-0.6342077255249023,4.198301792144775,4.5,0.0
6,"(1, 0)",0.05153072,0.04769606,-1.7491965293884277,3.422297477722168,3.8434109687805176,1.75,0.0010000000474974513
7,"(2, 0)",0.13860852,0.1876337,-5.898727893829346,4.056704998016357,7.159039497375488,1.75,0.0010000000474974513
8,"(0, 1)",-0.34495217,0.30049333,1.7491965293884277,-3.422297477722168,3.8434109687805176,3.75,0.0010000000474974513
9,"(2, 1)",0.13407856,0.24353647,-4.149531364440918,0.6344075202941895,4.197747707366943,3.75,0.0010000000474974513
10,"(0, 2)",-0.5965426,0.42082015,5.898727893829346,-4.056704998016357,7.159039497375488,4.5,0.0010000000474974513
11,"(1, 2)",-0.32024404,0.22841409,4.149531364440918,-0.6344075202941895,4.197747707366943,4.5,0.0010000000474974513
12,"(1, 0)",0.051545672,0.047721244,-1.7498745918273926,3.4215476512908936,3.8430521488189697,1.75,0.0020000000949949026
13,"(2, 0)",0.13860731,0.18763873,-5.898814678192139,4.056155204772949,7.158799171447754,1.75,0.0020000000949949026
14,"(0, 1)",-0.34493282,0.30045387,1.7498745918273926,-3.4215476512908936,3.8430521488189697,3.75,0.0020000000949949026
15,"(2, 1)",0.13406667,0.24350536,-4.148940086364746,0.6346073150634766,4.197193145751953,3.75,0.0020000000949949026
16,"(0, 2)",-0.59651405,0.42079696,5.898814678192139,-4.056155204772949,7.158799171447754,4.5,0.0020000000949949026
17,"(1, 2)",-0.32022375,0.22840834,4.148940086364746,-0.6346073150634766,4.197193145751953,4.5,0.0020000000949949026
18,"(1, 0)",0.051560648,0.047746398,-1.7505526542663574,3.42079758644104,3.8426930904388428,1.75,0.003000000026077032
19,"(2, 0)",0.13860612,0.18764377,-5.898900985717773,4.055604934692383,7.1585588455200195,1.75,0.003000000026077032
20,"(0, 1)",-0.34491304,0.3004149,1.7505526542663574,-3.42079758644104,3.8426930904388428,3.75,0.003000000026077032
21,"(2, 1)",0.13405478,0.24347425,-4.148348331451416,0.6348071098327637,4.196638584136963,3.75,0.003000000026077032
22,"(0, 2)",-0.5964854,0.4207739,5.898900985717773,-4.055604934692383,7.1585588455200195,4.5,0.003000000026077032
23,"(1, 2)",-0.32020342,0.22840253,4.148348331451416,-0.6348071098327637,4.196638584136963,4.5,0.003000000026077032
24,"(1, 0)",0.0515756,0.04777155,-1.7512307167053223,3.4200472831726074,3.842334032058716,1.75,0.004000000189989805
25,"(2, 0)",0.13860488,0.18764877,-5.89898681640625,4.0550537109375,7.158317565917969,1.75,0.004000000189989805
26,"(0, 1)",-0.34489316,0.30037588,1.7512307167053223,-3.4200472831726074,3.842334032058716,3.75,0.004000000189989805
27,"(2, 1)",0.1340429,0.24344313,-4.147756099700928,0.6350064277648926,4.196083068847656,3.75,0.004000000189989805
28,"(0, 2)",-0.59645665,0.42075062,5.89898681640625,-4.0550537109375,7.158317565917969,4.5,0.004000000189989805
29,"(1, 2)",-0.32018313,0.22839674,4.147756099700928,-0.6350064277648926,4.196083068847656,4.5,0.004000000189989805
30,"(1, 0)",0.051590547,0.047796704,-1.751908779144287,3.4192967414855957,3.841975450515747,1.75,0.004999999888241291
31,"(2, 0)",0.13860366,0.18765375,-5.899072170257568,4.054502487182617,7.158075332641602,1.75,0.004999999888241291
32,"(0, 1)",-0.34487337,0.30033693,1.751908779144287,-3.4192967414855957,3.841975450515747,3.75,0.004999999888241291
33,"(2, 1)",0.13403104,0.24341202,-4.147163391113281,0.6352057456970215,4.19552755355835,3.75,0.004999999888241291
34,"(0, 2)",-0.596428,0.4207274,5.899072170257568,-4.054502487182617,7.158075332641602,4.5,0.004999999888241291
35,"(1, 2)",-0.3201627,0.22839096,4.147163391113281,-0.6352057456970215,4.19552755355835,4.5,0.004999999888241291
36,"(1, 0)",0.051605515,0.047821872,-1.752586841583252,3.418545722961426,3.84161639213562,1.75,0.006000000052154064
37,"(2, 0)",0.1386024,0.18765873,-5.8991570472717285,4.053950786590576,7.157832622528076,1.75,0.006000000052154064
38,"(0, 1)",-0.34485346,0.3002979,1.752586841583252,-3.418545722961426,3.84161639213562,3.75,0.006000000052154064
39,"(2, 1)",0.13401914,0.24338081,-4.146570205688477,0.6354050636291504,4.194971084594727,3.75,0.006000000052154064
40,"(0, 2)",-0.59639925,0.4207042,5.8991570472717285,-4.053950786590576,7.157832622528076,4.5,0.006000000052154064
41,"(1, 2)",-0.32014233,0.22838512,4.146570205688477,-0.6354050636291504,4.194971084594727,4.5,0.006000000052154064
42,"(1, 0)",0.05162046,0.04784704,-1.7532649040222168,3.4177944660186768,3.841257095336914,1.75,0.007000000216066837
43,"(2, 0)",0.13860114,0.1876637,-5.8992414474487305,4.053399085998535,7.157589912414551,1.75,0.007000000216066837
44,"(0, 1)",-0.34483358,0.30025882,1.7532649040222168,-3.4177944660186768,3.841257095336914,3.75,0.007000000216066837
45,"(2, 1)",0.13400725,0.24334964,-4.145976543426514,0.6356043815612793,4.1944146156311035,3.75,0.007000000216066837
46,"(0, 2)",-0.59637046,0.4206809,5.8992414474487305,-4.053399085998535,7.157589912414551,4.5,0.007000000216066837
47,"(1, 2)",-0.32012185,0.22837931,4.145976543426514,-0.6356043815612793,4.1944146156311035,4.5,0.007000000216066837
48,"(1, 0)",0.051635407,0.0478722,-1.7539429664611816,3.4170424938201904,3.840897560119629,1.75,0.00800000037997961
49,"(2, 0)",0.13859987,0.18766865,-5.899325370788574,4.052846908569336,7.157346248626709,1.75,0.00800000037997961
50,"(0, 1)",-0.34481364,0.30021983,1.7539429664611816,-3.4170424938201904,3.840897560119629,3.75,0.00800000037997961
51,"(2, 1)",0.13399534,0.24331844,-4.145382404327393,0.6358041763305664,4.193857669830322,3.75,0.00800000037997961
52,"(0, 2)",-0.5963415,0.42065755,5.899325370788574,-4.052846908569336,7.157346248626709,4.5,0.00800000037997961
53,"(1, 2)",-0.32010147,0.22837344,4.145382404327393,-0.6358041763305664,4.193857669830322,4.5,0.00800000037997961
54,"(1, 0)",0.05165036,0.04789736,-1.7546210289001465,3.416290283203125,3.840538263320923,1.75,0.009000000543892384
55,"(2, 0)",0.1385986,0.1876736,-5.899409294128418,4.0522942543029785,7.157103061676025,1.75,0.009000000543892384
56,"(0, 1)",-0.3447937,0.30018073,1.7546210289001465,-3.416290283203125,3.840538263320923,3.75,0.009000000543892384
57,"(2, 1)",0.13398342,0.2432872,-4.1447882652282715,0.6360039710998535,4.193300724029541,3.75,0.009000000543892384
58,"(0, 2)",-0.59631276,0.4206343,5.899409294128418,-4.0522942543029785,7.157103061676025,4.5,0.009000000543892384
59,"(1, 2)",-0.32008103,0.22836763,4.1447882652282715,-0.6360039710998535,4.193300724029541,4.5,0.009000000543892384
